1-normal-rule,37.27717208862305,20.20119285583496

2-None-relu,52.66398239135742,25.624897003173828

3-rad-one,37.47043991088867,22.231813430786133

4-nor-ones,29.551942825317383,19.262903213500977

5-glui_relu,65.02507781982422,31.4680233001709

6-glui-zero,39.96956253051758,24.191530227661133

7-Glui-zero,41.65363693237305,22.704992294311523

8-mul-glui-zero,31.581207275390625,19.06279182434082

9-mul-glui-ones,33.34832763671875,19.578474044799805

10-mul-normal-ones,29.775362014770508,18.584001541137695
11-mul-normal-ones,32.58750915527344,19.33496856689453
11-mul-normal-ones,23.386964797973633,16.186216354370117
11-mul-normal-ones,23.157543182373047,15.112968444824219
11-mul-normal-ones,22.225351333618164,17.201435089111328
